"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Project's Latitude","Project's Longitude","place2020","Total Number of Units","Total Low-Income Units","Placed-In-Service Year","Credit Allocation Year","For-profit/non-profit Sponsor","Credit Type","Home Investment Partnership Funds","Community Development Block Grant (CDBG) Funds","FHA-insured Loan","Part of a HOPE VI Development","Dollar Amount of HOME Funds","Dollar Amount of CDBG Funds","Dollar Amount of HOPEVI Funds","Annual LIHTC Allocation Amount"
"CAA19980070","CAMBRIA APTS","738 S UNION AVE","LOS ANGELES","CA","90017","Los Angeles County","34.052756","-118.271661","44000","40","39","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","298022"
"CAA19980080","CASANOVA GARDENS","433 CASANOVA ST","LOS ANGELES","CA","90012","Los Angeles County","34.071863","-118.229143","44000","27","27","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","371677"
"CAA19980085","CLARA COURT","5159 CLARA ST","CUDAHY","CA","90201","Los Angeles County","33.964511","-118.175223","17498","35","35","1998","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","246183"
"CAA19980090","COCHRAN CITY LIGHTS","1315 S COCHRAN AVE","LOS ANGELES","CA","90019","Los Angeles County","34.050486","-118.351992","44000","25","25","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","404396"
"CAA19980140","SEGUNDO TERRACE","2242 E EL SEGUNDO BLVD","COMPTON","CA","90222","Los Angeles County","33.915978","-118.232791","85614","25","25","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","307807"
"CAA19980150","FIGUEROA COURT APTS","9130 S FIGUEROA ST","LOS ANGELES","CA","90003","Los Angeles County","33.953471","-118.282503","44000","40","39","1998","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","303091"
"CAA19980165","GARLAND CITY LIGHTS","1209 W EIGHTH ST","LOS ANGELES","CA","90017","Los Angeles County","34.050017","-118.268114","44000","72","72","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","1189897"
"CAA19980185","HAZELTINE APTS","7250 HAZELTINE AVE","VAN NUYS","CA","91405","Los Angeles County","34.202677","-118.439826","44000","35","34","1998","1994","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","294978"
"CAA19980215","LARK ELLEN VILLAGE","1350 E SAN BERNARDINO RD","WEST COVINA","CA","91791","Los Angeles County","34.091165","-117.872699","16742","121","121","1998","1997","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","481200"
"CAA19980240","LOS ALTOS APTS APTS","4121 WILSHIRE BLVD","LOS ANGELES","CA","90010","Los Angeles County","34.061866","-118.317423","44000","67","27","1998","1999","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","115140"
"CAA19980260","MISSION VILLAGE TERRACE","4001 N MISSION RD","LOS ANGELES","CA","90032","Los Angeles County","34.074013","-118.196697","44000","84","83","1998","2000","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","490172"
"CAA19980275","NORMANDIE VILLAGE","1747 N NORMANDIE AVE","LOS ANGELES","CA","90027","Los Angeles County","34.102932","-118.300739","44000","16","16","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","267844"
"CAA19980300","OROZCO VILLAS","8920 ORION AVE","NORTH HILLS","CA","91343","Los Angeles County","34.232298","-118.471782","44000","32","32","1998","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","168024"
"CAA19980315","PALM VIEW APTS","980 PALM AVE","WEST HOLLYWOOD","CA","90069","Los Angeles County","34.089346","-118.382694","84410","40","39","1998","1996","For-Profit Sponsor","70% Present Value Credit","No","No","No","No","0","0","0","297908"
"CAA19980320","PALM VILLAGE","1011 W 91ST ST","LOS ANGELES","CA","90044","Los Angeles County","33.954733","-118.292711","84592","30","30","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","223745"
"CAA19980330","PALMER HOUSE","538 WALL ST","LOS ANGELES","CA","90013","Los Angeles County","34.044088","-118.24634","44000","67","67","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","346947"
"CAA19980340","PARK RIDGE APTS","9555 RESEDA BLVD","NORTHRIDGE","CA","91324","Los Angeles County","34.243587","-118.536292","44000","158","64","1998","1997","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","246373"
"CAA19980365","PAZ VILLAS","14643 BLYTHE ST","VAN NUYS","CA","91402","Los Angeles County","34.215368","-118.452388","44000","13","13","1998","1997","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","86175"
"CAA19980375","PICO GRAMERCY FAMILY HOUSING","1303 S GRAMERCY PL","LOS ANGELES","CA","90019","Los Angeles County","34.047163","-118.313248","44000","49","48","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","711249"
"CAA19980395","REGENCY APTS","2317 W AVE J8","LANCASTER","CA","93536","Los Angeles County","34.68236","-118.170051","40130","77","77","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","807796"
"CAA19980425","RUGBY PLAZA","3660 RUGBY AVE","HUNTINGTON PARK","CA","","Los Angeles County","33.9783","-118.2174","36056","183","183","1998","1993","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","1564705"
"CAA19980430","SAN PEDRO NEW HOPE COURTYARD","1124 S PALOS VERDES ST","SAN PEDRO","CA","90731","Los Angeles County","33.733983","-118.281181","44000","10","10","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","101178"
"CAA19980465","SIERRA RETIREMENT VILLAGE","43321 SIERRA HWY","LANCASTER","CA","93534","Los Angeles County","34.669856","-118.132255","40130","97","96","1998","1996","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19980500","SUNSHINE TERRACE","10800 LAUREL AVE","WHITTIER","CA","90605","Los Angeles County","33.934847","-118.048659","73430","50","50","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","667938"
"CAA19980555","TRES PALMAS","269 LOMA DR","LOS ANGELES","CA","90026","Los Angeles County","34.060102","-118.265095","44000","19","19","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","219798"
"CAA19980615","WESTLAKE CITY LIGHTS","509 S WESTLAKE AVE","LOS ANGELES","CA","90057","Los Angeles County","34.059856","-118.273311","44000","32","32","1998","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","519623"
"CAA19980627","EUCLID VILLA TRANSITION HOUSING","154 S EUCLID AVE","PASADENA","CA","91101","Los Angeles County","34.143118","-118.142694","56000","15","15","1998","1995","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","115219"
"CAA19990005","16TH ST APTS","1438 16TH ST","SANTA MONICA","CA","90404","Los Angeles County","34.024756","-118.483063","70000","17","17","1999","1998","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","105368"
"CAA19990010","ANGELINA APTS","1300 ANGELINA ST","LOS ANGELES","CA","90026","Los Angeles County","34.064657","-118.255956","44000","81","81","1999","1996","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19990035","BLYTHE STREET APTS","14607 BLYTHE ST","PANORAMA CITY","CA","91402","Los Angeles County","34.215373","-118.451341","44000","31","31","1999","1998","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","218413"
"CAA19990040","BOUQUET CANYON SENIOR LIVING","26705 BOUQUET CANYON RD","SANTA CLARITA","CA","91350","Los Angeles County","34.430781","-118.534738","69088","264","264","1999","1998","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","882665"
"CAA19990050","BRYSON FAMILY APTS","2701 WILSHIRE BLVD","LOS ANGELES","CA","90057","Los Angeles County","34.061045","-118.28222","44000","81","80","1999","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","757297"
"CAA19990060","CALIFORNIA HOTEL (SAN PEDRO)","1134 S PACIFIC AVE","SAN PEDRO","CA","90731","Los Angeles County","33.733662","-118.28774","44000","39","39","1999","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","303211"
"CAA19990080","CASA MADRID","20721 VANOWEN ST","CANOGA PARK","CA","91306","Los Angeles County","34.193932","-118.584353","44000","28","28","1999","1998","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","117122"
"CAA19990150","CUDAHY GARDENS","4343 ELIZABETH ST","CUDAHY","CA","90201","Los Angeles County","33.963941","-118.191491","17498","99","99","1999","1998","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","114674"
"CAA19990170","EL CORAZON APTS","7006 ALABAMA AVE","CANOGA PARK","CA","91303","Los Angeles County","34.197517","-118.598814","44000","12","11","1999","1998","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","74960"
"CAA19990190","EMPRESS APTS","514 S WESTLAKE AVE","LOS ANGELES","CA","90057","Los Angeles County","34.059652","-118.272994","44000","14","14","1999","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","138135"
"CAA19990200","FEDORA APTS","836 FEDORA ST","LOS ANGELES","CA","90005","Los Angeles County","34.056752","-118.297423","44000","23","23","1999","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","196092"
"CAA19990205","FIGUEROA OAKS","10210 S FIGUEROA ST","LOS ANGELES","CA","90003","Los Angeles County","33.943374","-118.282419","44000","31","31","1999","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","388486"
"CAA19990235","GWEN BOLDEN MANOR","1302 E 41ST ST","LOS ANGELES","CA","90011","Los Angeles County","34.009063","-118.251884","44000","24","23","1999","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","385952"
"CAA19990240","HACIENDA SENIOR VILLAS","1901 S AZUSA AVE","HACIENDA HEIGHTS","CA","91745","Los Angeles County","33.988611","-117.932893","31596","151","150","1999","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","1133405"
"CAA19990250","ROSEWOOD PARK SENIOR APTS","2230 S EASTERN AVE","COMMERCE","CA","90040","Los Angeles County","34.004993","-118.158786","14974","94","93","1999","1999","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","202552"
"CAA19990335","MAIN STREET PLAZA","333 W MAIN ST","ALHAMBRA","CA","91801","Los Angeles County","34.093475","-118.13082","884","110","109","1999","2000","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","486869"
"CAA19990355","MAYUR TOWN HOMES","5846 CARLTON WAY","LOS ANGELES","CA","90028","Los Angeles County","34.100298","-118.316798","44000","21","20","1999","1998","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","247241"
"CAA19990360","MEDIA VILLAGE SENIOR HOUSING PROJECT","325 N THIRD ST","BURBANK","CA","91502","Los Angeles County","34.183677","-118.309989","8954","147","146","1999","1996","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","339106"
"CAA19990405","PALMS APTS","1920 BATSON AVE","ROWLAND HEIGHTS","CA","91748","Los Angeles County","33.984603","-117.903711","63218","332","332","1999","1998","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","631675"
"CAA19990495","SHERATON TOWN HOUSE","2961 WILSHIRE BLVD","LOS ANGELES","CA","90010","Los Angeles County","34.062033","-118.286461","44000","142","141","1999","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","1185516"
"CAA19990515","SOMERSET GLEN APTS","13380 HILLSBOROUGH DR","LA MIRADA","CA","90638","Los Angeles County","33.909028","-117.978984","40032","160","160","1999","1998","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","556617"
"CAA19990530","SPRINGDALE WEST APTS","2095 W SPRING ST","LONG BEACH","CA","90810","Los Angeles County","33.811839","-118.219727","43000","410","406","1999","1999","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","811987"
"CAA19990555","SYCAMORE PARK APTS","250 S AVE 50","LOS ANGELES","CA","90042","Los Angeles County","34.102751","-118.200386","44000","59","58","1999","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","513896"
"CAA19990590","DON SENIOR APTS","105 E I ST","WILMINGTON","CA","90744","Los Angeles County","33.781399","-118.262223","44000","56","56","1999","1998","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","414912"
"CAA19990600","PROMENADE","1333 W GARVEY AVE N","WEST COVINA","CA","91790","Los Angeles County","34.073386","-117.934492","84200","124","124","1999","1998","Non-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","205586"
"CAA19990605","SALVATION ARMY WESTWOOD TRANSITIONAL VILLAGE","1341 S SEPULVEDA BLVD","LOS ANGELES","CA","90025","Los Angeles County","34.053845","-118.449872","99999","40","40","1999","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","511424"
"CAA19990630","TOLTON COURT","2806 W BLVD","LOS ANGELES","CA","90016","Los Angeles County","34.030148","-118.341497","44000","10","10","1999","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","130554"
"CAA19990685","VINTAGE GROVE SENIOR APTS","3625 WILLIAMS AVE","LA VERNE","CA","91750","Los Angeles County","34.109555","-117.750912","40830","110","109","1999","1998","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","777557"
"CAA19990695","VISTA NUEVA APTS","130 S LA FAYETTE PARK PL","LOS ANGELES","CA","90057","Los Angeles County","34.069875","-118.278584","44000","30","29","1999","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","415781"
"CAA19990710","TOTLON/MONTCLAIR COURT","4200 MONTCLAIR ST","LOS ANGELES","CA","90018","Los Angeles County","34.031407","-118.332026","44000","16","15","1999","1997","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","233934"
"CAA19990747","BARNSDALL COURT APTS","1632 N NORMANDIE AVE","LOS ANGELES","CA","90027","Los Angeles County","34.101022","-118.300335","44000","38","37","1999","1997","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","228893"
"CAA19990752","CASA RAMPART APTS","401 S RAMPART BLVD","LOS ANGELES","CA","90057","Los Angeles County","34.064991","-118.279908","44000","68","67","1999","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","302320"
"CAA19990754","CONCORD-HUNTINGTON PARK APTS","6900 SEVILLE AVE","HUNTINGTON PARK","CA","90255","Los Angeles County","33.976912","-118.222298","36056","162","160","1999","1999","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","188193"
"CAA19990765","NEW HARBOR VISTA","410 N WILMINGTON BLVD","WILMINGTON","CA","90744","Los Angeles County","33.774346","-118.273564","44000","132","130","1999","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","696809"
"CAA19990769","PARK GRAND APTS","858 E GRAND AVE","POMONA","CA","91766","Los Angeles County","34.047939","-117.739305","58072","62","61","1999","1997","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","578562"
"CAA19990770","PRESERVATION I","1156 W ADAMS BLVD","LOS ANGELES","CA","90007","Los Angeles County","34.032135","-118.28539","44000","89","87","1999","1999","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","93314"
"CAA19990771","PRESERVATION IV","1045 W 18TH ST","LOS ANGELES","CA","90015","Los Angeles County","34.03955","-118.280022","44000","30","29","1999","1999","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","23317"
"CAA19990772","PRESERVATION V","833 S CARONDELET ST","LOS ANGELES","CA","90057","Los Angeles County","34.056117","-118.282705","44000","124","118","1999","1999","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","111714"
"CAA19990780","TM CHAMBERS MANORS","2620 MENLO AVE","LOS ANGELES","CA","90007","Los Angeles County","34.032163","-118.290118","44000","19","18","1999","1996","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","165827"
"CAA19990781","VAN NUYS PIERCE PARK APTS","12700 VAN NUYS BLVD","PACOIMA","CA","91331","Los Angeles County","34.275124","-118.40942","44000","430","426","1999","1999","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","700267"
"CAA20000010","ABAJO DEL SOL SENIOR APTS","1000 ABAJO DR","MONTEREY PARK","CA","91754","Los Angeles County","34.059171","-118.145782","48914","61","60","2000","1998","Non-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","270046"
"CAA20000035","AVALON-EL SEGUNDO SENIOR APTS","13232 AVALON BLVD","LOS ANGELES","CA","90061","Los Angeles County","33.912417","-118.265091","84780","42","41","2000","1998","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","288951"
"CAA20000045","WATSON II","3939 URSULA AVE","LOS ANGELES","CA","90008","Los Angeles County","34.015731","-118.352632","44000","83","83","2000","1999","Non-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","460085"
"CAA20000090","CASA VERDE APTS","1552 SCHRADER BLVD","LOS ANGELES","CA","90028","Los Angeles County","34.099307","-118.332279","44000","30","29","2000","1997","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","391761"
"CAA20000095","CASABLANCA APTS","4160 E AVE R","PALMDALE","CA","93552","Los Angeles County","34.57295","-118.054724","55156","200","198","2000","1998","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","1877261"
"CAA20000110","CHESTNUT VILLAGE","5675 YORK BLVD","LOS ANGELES","CA","90042","Los Angeles County","34.119155","-118.194328","44000","3","3","2000","1997","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","49193"
"CAA20000150","COURTLAND CITY LIGHTS","1355 W CT ST","LOS ANGELES","CA","90026","Los Angeles County","34.064598","-118.257519","44000","92","91","2000","1999","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","102006"
"CAA20000185","FOX NORMANDIE APTS","849 S NORMANDIE AVE","LOS ANGELES","CA","90005","Los Angeles County","34.056848","-118.299992","44000","48","47","2000","1999","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","83133"
"CAA20000190","GRACE AVENUE HOUSING","555 E CARSON ST","CARSON","CA","90745","Los Angeles County","33.831871","-118.266047","11530","84","83","2000","2000","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","517137"
"CAA20000195","GRANDVIEW CITY LIGHTS","831 S GRAND VIEW ST","LOS ANGELES","CA","90057","Los Angeles County","34.05534","-118.280528","44000","32","31","2000","1997","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","524068"
"CAA20000200","HARBOR CITY LIGHTS","523 W 127TH ST","LOS ANGELES","CA","90044","Los Angeles County","33.917776","-118.283857","44000","56","55","2000","2000","For-Profit Sponsor","30% Present Value Credit","No","No","No","No","0","0","0","420322"
"CAA20000235","HIGHLAND VILLAGE","245 S AVE 50","LOS ANGELES","CA","90042","Los Angeles County","34.102613","-118.199478","44000","91","89","2000","1999","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","755703"
"CAA20000240","IRIS GARDENS","385 N ROCKVALE AVE","AZUSA","CA","91702","Los Angeles County","34.127996","-117.896439","3386","120","118","2000","2001","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","290621"
"CAA20000255","KENMORE APTS","1726 N KENMORE AVE","LOS ANGELES","CA","90027","Los Angeles County","34.102614","-118.297051","44000","21","20","2000","1998","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","259573"
"CAA20000290","LIVE OAKS GARDEN","5203 LIVE OAK ST","BELL","CA","90201","Los Angeles County","33.966706","-118.174184","17498","40","32","2000","1999","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","436755"
"CAA20000315","MIRADA TERRACE APTS","5657 LA MIRADA AVE","HOLLYWOOD","CA","90038","Los Angeles County","34.093936","-118.312404","44000","30","29","2000","1998","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","404481"
"CAA20000340","MOUNTAIN VIEW MANOR APTS","12960 DRONFIELD AVE","SYLMAR","CA","91342","Los Angeles County","34.306093","-118.434652","44000","200","200","2000","1998","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","331718"
"CAA20000375","OAK TREE VILLAGE","15231 SHERMAN WAY","VAN NUYS","CA","91405","Los Angeles County","34.201498","-118.464819","44000","21","20","2000","1998","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","252734"
"CAA20000385","ORANGE GROVE APTS","626 ORANGE GROVE AVE","GLENDALE","CA","91205","Los Angeles County","34.143422","-118.247813","30000","24","23","2000","2000","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","192184"
"CAA20000425","PARK PLACE APTS","7970 WOODMAN AVE","VAN NUYS","CA","91402","Los Angeles County","34.216026","-118.430706","44000","142","141","2000","2000","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","378718"
"CAA20000430","PARK WILLIAM APTS","853 WILLIAM ST","POMONA","CA","91768","Los Angeles County","34.063256","-117.764123","58072","31","30","2000","1999","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","261190"
"CAA20000470","PRESERVATION II","300 E 51ST ST","LOS ANGELES","CA","90011","Los Angeles County","33.996364","-118.269993","44000","109","104","2000","1999","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","105552"
"CAA20000475","PRESERVATION III","6427 S HOOVER ST","LOS ANGELES","CA","90044","Los Angeles County","33.980608","-118.287258","44000","48","44","2000","1999","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","52440"
"CAA20000495","ROWLAND HEIGHTS APTS","1945 BATSON AVE","ROWLAND HEIGHTS","CA","91748","Los Angeles County","33.984372","-117.904105","63218","144","142","2000","2001","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","418789"
"CAA20000505","SAN ANTONIO GARDEN","13708 SAN ANTONIO DR","NORWALK","CA","90650","Los Angeles County","33.906177","-118.077989","52526","65","65","2000","1998","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","452966"
"CAA20000520","SENDEROS","2141 ESTRELLA AVE","LOS ANGELES","CA","90007","Los Angeles County","34.032399","-118.276598","44000","12","12","2000","1999","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","126058"
"CAA20000575","SYCAMORE VILLAGE","523 S RAMPART BLVD","LOS ANGELES","CA","90057","Los Angeles County","34.062998","-118.281192","44000","30","29","2000","1998","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","509094"
"CAA20000625","THE VILLAGGIO II","555 E CARSON ST","CARSON","CA","90745","Los Angeles County","33.831871","-118.266047","11530","65","64","2000","2000","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","411079"
"CAA20000640","TOWNE SQUARE","11650 TOWNE AVE","LOS ANGELES","CA","90061","Los Angeles County","33.928217","-118.266233","44000","51","50","2000","1999","Non-Profit Sponsor","70% Present Value Credit","No","No","No","No","0","0","0","353197"
"CAA20000650","UNIVERSITY GARDENS APTS","1250 W JEFFERSON BLVD","LOS ANGELES","CA","90007","Los Angeles County","34.025325","-118.293144","44000","113","111","2000","2000","Non-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","287613"
"CAA20000665","VILLAGES AT CABRILLO","2001 RIVER AVE","LONG BEACH","CA","90810","Los Angeles County","33.792315","-118.222332","43000","196","196","2000","1999","Non-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","242377"
"CAA20000680","VINTAGE GARDENS SENIOR APTS","1950 E BADILLO ST","WEST COVINA","CA","91791","Los Angeles County","34.086126","-117.904359","84200","188","186","2000","2001","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","550263"
"CAA20000715","WAVECREST APTS","708 PICO BLVD","SANTA MONICA","CA","90405","Los Angeles County","34.011635","-118.483727","70000","20","19","2000","1999","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","264257"
